"ID","Base Form","Past Simple","Past Participle","Meaning"
1,"arise","arose","arisen","sorgere"
2,"awake","awoke","awoken","svegliarsi"
3,"be","was/were","been","essere"
4,"bear","bore","born/borne","sopportare"
5,"beat","beat","beaten","battere"
6,"become","became","become","diventare"
7,"begin","began","begun","iniziare"
8,"bend","bent","bent","piegare"
9,"bet","bet","bet","scommettere"
10,"bind","bound","bound","legare"
11,"bite","bit","bitten","mordere"
12,"bleed","bled","bled","sanguinare"
13,"blow","blew","blown","soffiare"
14,"break","broke","broken","rompere"
15,"breed","bred","bred","allevare"
16,"bring","brought","brought","portare"
17,"broadcast","broadcast","broadcast","trasmettere"
18,"build","built","built","costruire"
19,"burn","burnt/burned","burnt/burned","bruciare"
20,"burst","burst","burst","scoppiare"
21,"buy","bought","bought","comprare"
22,"catch","caught","caught","prendere"
23,"choose","chose","chosen","scegliere"
24,"come","came","come","venire"
25,"cost","cost","cost","costare"
26,"creep","crept","crept","strisciare"
27,"cut","cut","cut","tagliare"
28,"deal","dealt","dealt","trattare"
29,"dig","dug","dug","scavare"
30,"do","did","done","fare"
31,"draw","drew","drawn","disegnare"
32,"dream","dreamt/dreamed","dreamt/dreamed","sognare"
33,"drink","drank","drunk","bere"
34,"drive","drove","driven","guidare"
35,"eat","ate","eaten","mangiare"
36,"fall","fell","fallen","cadere"
37,"feed","fed","fed","nutrire"
38,"feel","felt","felt","sentire"
39,"fight","fought","fought","combattere"
40,"find","found","found","trovare"
41,"flee","fled","fled","fuggire"
42,"fly","flew","flown","volare"
43,"forbid","forbade","forbidden","vietare"
44,"forget","forgot","forgotten","dimenticare"
45,"forgive","forgave","forgiven","perdonare"
46,"freeze","froze","frozen","congelare"
47,"get","got","got/gotten","ottenere"
48,"give","gave","given","dare"
49,"go","went","gone","andare"
50,"grind","ground","ground","macinare"
51,"grow","grew","grown","crescere"
52,"hang","hung/hanged","hung/hanged","appendere"
53,"have","had","had","avere"
54,"hear","heard","heard","sentire"
55,"hide","hid","hidden","nascondere"
56,"hit","hit","hit","colpire"
57,"hold","held","held","tenere"
58,"hurt","hurt","hurt","ferire"
59,"keep","kept","kept","mantenere"
60,"kneel","knelt/kneeled","knelt/kneeled","inginocchiarsi"
61,"know","knew","known","sapere"
62,"lay","laid","laid","deporre"
63,"lead","led","led","condurre"
64,"lean","leant/leaned","leant/leaned","appoggiarsi"
65,"leap","leapt/leaped","leapt/leaped","saltare"
66,"learn","learnt/learned","learnt/learned","imparare"
67,"leave","left","left","partire"
68,"lend","lent","lent","prestare"
69,"let","let","let","lasciare"
70,"lie","lay","lain","stare distesi"
71,"light","lit/lighted","lit/lighted","accendere"
72,"lose","lost","lost","perdere"
73,"make","made","made","fare"
74,"mean","meant","meant","significare"
75,"meet","met","met","incontrare"
76,"mow","mowed","mown/mowed","falciare"
77,"pay","paid","paid","pagare"
78,"put","put","put","mettere"
79,"read","read","read","leggere"
80,"ride","rode","ridden","cavalcare"
81,"ring","rang","rung","suonare"
82,"rise","rose","risen","sorgere"
83,"run","ran","run","correre"
84,"saw","sawed","sawn/sawed","segare"
85,"say","said","said","dire"
86,"see","saw","seen","vedere"
87,"seek","sought","sought","cercare"
88,"sell","sold","sold","vendere"
89,"send","sent","sent","inviare"
90,"set","set","set","impostare"
91,"sew","sewed","sewn/sewed","cucire"
92,"shake","shook","shaken","scuotere"
93,"shear","sheared","shorn/sheared","tosare"
94,"shine","shone/shined","shone/shined","brillare"
95,"shoot","shot","shot","sparare"
96,"show","showed","shown/showed","mostrare"
97,"shrink","shrank","shrunk","restringersi"
98,"shut","shut","shut","chiudere"
99,"sing","sang","sung","cantare"
100,"sink","sank","sunk","affondare"
101,"sit","sat","sat","sedere"
102,"sleep","slept","slept","dormire"
103,"slide","slid","slid","scivolare"
104,"sow","sowed","sown/sowed","seminare"
105,"speak","spoke","spoken","parlare"
106,"speed","sped/speeded","sped/speeded","accelerare"
107,"spell","spelt/spelled","spelt/spelled","sillabare"
108,"spend","spent","spent","spendere"
109,"spill","spilt/spilled","spilt/spilled","versare"
110,"spin","spun","spun","filare"
111,"spit","spat","spat","sputare"
112,"split","split","split","dividere"
113,"spoil","spoilt/spoiled","spoilt/spoiled","rovinare"
114,"spread","spread","spread","spandere"
115,"spring","sprang","sprung","saltare"
116,"stand","stood","stood","stare in piedi"
117,"steal","stole","stolen","rubare"
118,"stick","stuck","stuck","attaccare"
119,"sting","stung","stung","pungere"
120,"stink","stank","stunk","puzzare"
121,"strike","struck","struck","colpire"
122,"strive","strove","striven","sforzarsi"
123,"swear","swore","sworn","giurare"
124,"sweep","swept","swept","spazzare"
125,"swell","swelled","swollen","gonfiarsi"
126,"swim","swam","swum","nuotare"
127,"swing","swung","swung","oscillare"
128,"take","took","taken","prendere"
129,"teach","taught","taught","insegnare"
130,"tear","tore","torn","strappare"
131,"tell","told","told","raccontare"
132,"think","thought","thought","pensare"
133,"throw","threw","thrown","lanciare"
134,"undergo","underwent","undergone","subire"
135,"understand","understood","understood","capire"
136,"undertake","undertook","undertaken","intraprendere"
137,"wake","woke","woken","svegliarsi"
138,"wear","wore","worn","indossare"
139,"weep","wept","wept","piangere"
140,"win","won","won","vincere"
141,"wind","wound","wound","avvolgere"
142,"withdraw","withdrew","withdrawn","prelevare"
143,"write","wrote","written","scrivere"